img,namee
/content/drive/MyDrive/Assignment_AI/augmented_image/196_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/124_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/136_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/141_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/30_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/73_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/166_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/52_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/41_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/197_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/75_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/18_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/26_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/106_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/184_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/139_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/118_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/35_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/155_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/171_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/188_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/42_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/105_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/171_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/186_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/43_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/6_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/85_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/115_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/86_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/24_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/131_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/102_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/49_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/69_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/102_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/134_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/1_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/29_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/58_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/97_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/79_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/89_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/82_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/51_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/21_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/76_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/26_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/182_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/144_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/154_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/56_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/118_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/78_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/140_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/161_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/17_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/97_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/11_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/106_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/33_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/169_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/96_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/87_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/10_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/121_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/103_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/95_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/178_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/167_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/175_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/98_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/54_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/43_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/102_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/50_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/34_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/172_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/93_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/98_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/71_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/153_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/23_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/3_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/171_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/40_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/167_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/91_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/32_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/118_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/105_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/41_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/111_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/183_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/96_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/109_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/164_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/88_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/101_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/198_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/45_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/187_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/199_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/52_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/155_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/98_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/161_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/81_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/85_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/79_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/196_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/15_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/60_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/83_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/57_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/194_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/179_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/80_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/98_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/179_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/8_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/146_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/145_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/75_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/19_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/56_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/132_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/4_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/121_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/169_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/90_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/46_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/5_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/108_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/170_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/103_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/83_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/116_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/92_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/157_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/62_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/14_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/37_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/63_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/127_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/54_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/167_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/107_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/2_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/194_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/132_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/21_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/159_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/38_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/65_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/46_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/90_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/179_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/178_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/93_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/5_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/170_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/115_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/22_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/124_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/88_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/182_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/49_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/130_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/58_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/38_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/184_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/54_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/13_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/190_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/190_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/11_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/72_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/33_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/129_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/92_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/46_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/8_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/20_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/40_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/21_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/134_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/68_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/140_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/31_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/107_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/168_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/146_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/140_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/93_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/125_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/99_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/168_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/85_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/123_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/172_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/77_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/163_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/123_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/46_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/46_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/73_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/90_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/94_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/9_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/17_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/113_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/15_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/72_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/155_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/143_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/96_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/72_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/92_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/174_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/127_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/62_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/114_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/48_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/51_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/106_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/158_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/116_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/53_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/199_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/190_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/71_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/44_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/13_Sadikshya.jpg,Sadikshya
/content/drive/MyDrive/Assignment_AI/augmented_image/141_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/60_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/178_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/58_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/82_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/148_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/189_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/178_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/157_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/76_Student7.jpg,Student7
/content/drive/MyDrive/Assignment_AI/augmented_image/196_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/62_Student6.jpg,Student6
/content/drive/MyDrive/Assignment_AI/augmented_image/132_Student2.jpg,Student2
/content/drive/MyDrive/Assignment_AI/augmented_image/133_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/59_Student8.jpg,Student8
/content/drive/MyDrive/Assignment_AI/augmented_image/154_Student3a.jpg,Student3a
/content/drive/MyDrive/Assignment_AI/augmented_image/89_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/187_Student1.jpg,Student1
/content/drive/MyDrive/Assignment_AI/augmented_image/13_Student5.jpg,Student5
/content/drive/MyDrive/Assignment_AI/augmented_image/170_Student5.jpg,Student5
